00:00:01:15	00:00:31:07
00:00:48:00	00:00:01:07
00:00:57:20	00:00:00:20
00:00:59:15	00:00:12:12
00:01:14:10	00:00:20:02
00:02:29:15	00:00:26:12
00:03:22:20	00:00:05:17
00:03:30:20	00:00:03:07
00:03:36:10	00:00:01:07
00:03:38:20	00:00:04:02
00:04:10:05	00:00:10:07
00:04:22:00	00:00:04:07
00:04:27:15	00:00:04:02
00:04:38:00	00:00:08:22
00:04:48:00	00:00:20:22
00:05:10:00	00:00:01:07
00:05:14:00	00:00:22:12
00:05:39:15	00:00:14:02
00:05:54:20	00:00:10:22
00:06:07:15	00:00:02:12
00:06:35:20	00:00:00:20
00:06:40:10	00:00:01:07
00:06:43:05	00:00:02:12
00:06:46:20	00:00:02:12
00:07:04:20	00:00:34:02
00:07:40:00	00:00:16:22
00:07:58:00	00:00:21:07
00:08:20:10	00:00:02:22
00:08:24:20	00:00:42:02
00:09:26:20	00:00:05:17
00:09:36:10	00:00:01:17
00:09:39:10	00:00:00:20
00:09:46:10	00:00:30:12
00:10:18:10	00:00:01:07
00:10:21:05	00:00:01:17
00:10:30:20	00:00:01:17
00:10:33:15	00:00:03:02
00:10:43:00	00:00:07:02
00:10:53:15	00:00:03:22
00:11:01:05	00:00:01:17
00:11:05:05	00:00:02:02
00:11:12:20	00:00:01:17
00:11:17:05	00:00:02:02
00:11:38:00	00:00:02:12
00:11:42:20	00:00:09:17
00:11:53:15	00:00:12:22
00:12:08:20	00:00:06:02
00:12:16:00	00:00:03:17
00:12:21:15	00:00:03:17
00:12:26:10	00:00:33:07
00:13:27:15	00:00:00:22
00:13:33:15	00:00:25:07
00:14:21:00	00:00:00:20
00:14:30:05	00:00:00:20
00:14:33:05	00:00:38:12
00:15:14:10	00:00:15:17
00:15:34:00	00:00:04:02
00:15:42:00	00:00:19:17
00:16:02:20	00:00:00:22
00:16:06:20	00:00:03:07
00:16:11:00	00:00:00:20
00:16:13:20	00:00:00:20
00:16:15:10	00:00:00:20
00:16:19:00	00:00:00:20
00:16:22:20	00:00:03:07
00:16:27:00	00:00:01:00
00:16:28:20	00:00:04:17
00:16:34:10	00:00:00:22
00:16:36:20	00:00:04:12
00:16:46:20	00:00:18:22
00:17:10:15	00:00:00:20
00:17:12:20	00:00:17:17
00:17:52:20	00:00:01:07
