00:00:02:10	00:00:03:17
00:00:07:15	00:00:08:22
00:00:17:15	00:00:04:02
00:00:30:00	00:00:02:22
00:00:34:00	00:00:04:17
00:00:39:15	00:00:02:07
00:00:42:20	00:00:02:12
00:00:46:10	00:00:01:07
00:00:49:15	00:00:01:12
00:00:52:00	00:00:00:22
00:00:54:00	00:00:01:17
00:00:58:10	00:00:02:12
00:01:02:10	00:00:04:12
00:01:08:00	00:00:04:12
00:01:14:15	00:00:00:20
00:01:16:20	00:00:09:07
00:01:27:00	00:00:01:17
00:01:30:15	00:00:00:20
00:01:32:15	00:00:00:20
00:01:39:15	00:00:01:02
00:01:42:20	00:00:01:17
00:01:47:15	00:00:00:22
00:01:49:10	00:00:00:20
00:01:56:00	00:00:00:22
00:01:59:05	00:00:01:07
00:02:04:20	00:00:01:17
00:02:09:15	00:00:02:22
00:02:14:20	00:00:00:22
00:02:18:10	00:00:01:12
00:02:22:10	00:00:03:07
00:02:33:15	00:00:03:07
00:02:37:20	00:00:00:20
00:02:41:10	00:00:00:20
00:02:47:10	00:00:00:20
00:02:49:05	00:00:02:22
00:02:53:15	00:00:12:22
00:03:08:10	00:00:10:12
00:03:20:00	00:00:03:07
00:03:36:20	00:00:01:07
00:03:52:00	00:00:01:17
00:04:14:15	00:00:00:20
00:04:19:05	00:00:05:07
00:04:31:05	00:00:02:22
00:04:46:00	00:00:00:22
00:04:54:00	00:00:01:17
00:04:59:05	00:00:07:17
00:05:09:05	00:00:04:12
00:05:14:20	00:00:01:17
00:05:18:20	00:00:00:22
00:05:22:00	00:00:04:12
00:05:27:15	00:00:01:07
00:05:35:15	00:00:02:22
00:05:39:15	00:00:02:12
00:05:46:00	00:00:00:22
00:05:50:00	00:00:01:07
00:05:54:20	00:00:00:22
00:06:34:00	00:00:01:12
00:06:48:20	00:00:02:02
00:06:52:00	00:00:01:02
00:06:56:20	00:00:02:22
00:07:01:15	00:00:10:02
00:07:13:15	00:00:02:02
